entrez	ensgene	symbol	chr	start	end	strand	biotype	description
50837	ENSG00000121377	TAS2R7	12	10954131	10955226	-1	protein_coding	taste receptor, type 2, member 7 [Source:HGNC Symbol;Acc:14913]
79370	ENSG00000121380	BCL2L14	12	12202778	12364018	1	protein_coding	BCL2-like 14 (apoptosis facilitator) [Source:HGNC Symbol;Acc:16657]
50835	ENSG00000121381	TAS2R9	12	10961693	10962767	-1	protein_coding	taste receptor, type 2, member 9 [Source:HGNC Symbol;Acc:14917]
55269	ENSG00000121390	PSPC1	13	20248896	20357142	-1	protein_coding	paraspeckle component 1 [Source:HGNC Symbol;Acc:20320]
256051	ENSG00000121406	ZNF549	19	58038693	58068910	1	protein_coding	zinc finger protein 549 [Source:HGNC Symbol;Acc:26632]
1	ENSG00000121410	A1BG	19	58856544	58864865	-1	protein_coding	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:5]
65982	ENSG00000121413	ZSCAN18	19	58595205	58629794	-1	protein_coding	zinc finger and SCAN domain containing 18 [Source:HGNC Symbol;Acc:21037]
10520	ENSG00000121417	ZNF211	19	58141761	58154147	1	protein_coding	zinc finger protein 211 [Source:HGNC Symbol;Acc:13003]
23024	ENSG00000121440	PDZRN3	3	73431584	73674091	-1	protein_coding	PDZ domain containing ring finger 3 [Source:HGNC Symbol;Acc:17704]
353299	ENSG00000121446	RGSL1	1	182419256	182529734	1	protein_coding	regulator of G-protein signaling like 1 [Source:HGNC Symbol;Acc:18636]
89884	ENSG00000121454	LHX4	1	180199421	180249380	1	protein_coding	LIM homeobox 4 [Source:HGNC Symbol;Acc:21734]
6045	ENSG00000121481	RNF2	1	185014496	185071740	1	protein_coding	ring finger protein 2 [Source:HGNC Symbol;Acc:10061]
81627	ENSG00000121486	TRMT1L	1	185087220	185126204	-1	protein_coding	tRNA methyltransferase 1 homolog (S. cerevisiae)-like [Source:HGNC Symbol;Acc:16782]
26984	ENSG00000121542	SEC22A	3	122920774	122992977	1	protein_coding	SEC22 vesicle trafficking protein homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:20260]
1475	ENSG00000121552	CSTA	3	122044091	122060819	1	protein_coding	cystatin A (stefin A) [Source:HGNC Symbol;Acc:2481]
55211	ENSG00000121570	DPPA4	3	109044988	109056419	-1	protein_coding	developmental pluripotency associated 4 [Source:HGNC Symbol;Acc:19200]
64091	ENSG00000121577	POPDC2	3	119355304	119384171	-1	protein_coding	popeye domain containing 2 [Source:HGNC Symbol;Acc:17648]
8702	ENSG00000121578	B4GALT4	3	118930579	118959950	-1	protein_coding	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4 [Source:HGNC Symbol;Acc:927]
80218	ENSG00000121579	NAA50	3	113435307	113465147	-1	protein_coding	N(alpha)-acetyltransferase 50, NatE catalytic subunit [Source:HGNC Symbol;Acc:29533]
941	ENSG00000121594	CD80	3	119243140	119278449	-1	protein_coding	CD80 molecule [Source:HGNC Symbol;Acc:1700]
81930	ENSG00000121621	KIF18A	11	28042167	28129855	-1	protein_coding	kinesin family member 18A [Source:HGNC Symbol;Acc:29441]
2703	ENSG00000121634	GJA8	1	147374946	147381393	1	protein_coding	gap junction protein, alpha 8, 50kDa [Source:HGNC Symbol;Acc:4281]
51029	ENSG00000121644	DESI2	1	244816237	244872335	1	protein_coding	desumoylating isopeptidase 2 [Source:HGNC Symbol;Acc:24264]
9479	ENSG00000121653	MAPK8IP1	11	45907202	45928016	1	protein_coding	mitogen-activated protein kinase 8 interacting protein 1 [Source:HGNC Symbol;Acc:6882]
1408	ENSG00000121671	CRY2	11	45868669	45904798	1	protein_coding	cryptochrome 2 (photolyase-like) [Source:HGNC Symbol;Acc:2385]
9409	ENSG00000121680	PEX16	11	45931220	45940363	-1	protein_coding	peroxisomal biogenesis factor 16 [Source:HGNC Symbol;Acc:8857]
91614	ENSG00000121690	DEPDC7	11	33037410	33055128	1	protein_coding	DEP domain containing 7 [Source:HGNC Symbol;Acc:29899]
847	ENSG00000121691	CAT	11	34460472	34493609	1	protein_coding	catalase [Source:HGNC Symbol;Acc:1516]
102466747	ENSG00000121716	PILRB	7	99933737	99965356	1	protein_coding	paired immunoglobin-like type 2 receptor beta [Source:HGNC Symbol;Acc:18297]
29990	ENSG00000121716	PILRB	7	99933737	99965356	1	protein_coding	paired immunoglobin-like type 2 receptor beta [Source:HGNC Symbol;Acc:18297]
7750	ENSG00000121741	ZMYM2	13	20532810	20665968	1	protein_coding	zinc finger, MYM-type 2 [Source:HGNC Symbol;Acc:12989]
10804	ENSG00000121742	GJB6	13	20796110	20806534	-1	protein_coding	gap junction protein, beta 6, 30kDa [Source:HGNC Symbol;Acc:4288]
2700	ENSG00000121743	GJA3	13	20712394	20735188	-1	protein_coding	gap junction protein, alpha 3, 46kDa [Source:HGNC Symbol;Acc:4277]
64786	ENSG00000121749	TBC1D15	12	72233487	72320629	1	protein_coding	TBC1 domain family, member 15 [Source:HGNC Symbol;Acc:25694]
576	ENSG00000121753	BAI2	1	32192718	32230494	-1	protein_coding	brain-specific angiogenesis inhibitor 2 [Source:HGNC Symbol;Acc:944]
3061	ENSG00000121764	HCRTR1	1	32083287	32098119	1	protein_coding	hypocretin (orexin) receptor 1 [Source:HGNC Symbol;Acc:4848]
51538	ENSG00000121766	ZCCHC17	1	31769842	31837783	1	protein_coding	zinc finger, CCHC domain containing 17 [Source:HGNC Symbol;Acc:30246]
2170	ENSG00000121769	FABP3	1	31838472	31849697	-1	protein_coding	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor) [Source:HGNC Symbol;Acc:3557]
10657	ENSG00000121774	KHDRBS1	1	32479430	32526451	1	protein_coding	KH domain containing, RNA binding, signal transduction associated 1 [Source:HGNC Symbol;Acc:18116]
55116	ENSG00000121775	TMEM39B	1	32537632	32568467	1	protein_coding	transmembrane protein 39B [Source:HGNC Symbol;Acc:25510]
9034	ENSG00000121797	CCRL2	3	46448654	46454488	1	protein_coding	chemokine (C-C motif) receptor-like 2 [Source:HGNC Symbol;Acc:1612]
729230	ENSG00000121807	CCR2	3	46395225	46402419	1	protein_coding	chemokine (C-C motif) receptor 2 [Source:HGNC Symbol;Acc:1603]
27246	ENSG00000121848	RNF115	1	145611036	145696218	1	protein_coding	ring finger protein 115 [Source:HGNC Symbol;Acc:18154]
84265	ENSG00000121851	POLR3GL	1	145456236	145470388	-1	protein_coding	polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like [Source:HGNC Symbol;Acc:28466]
2693	ENSG00000121853	GHSR	3	172162923	172166246	-1	protein_coding	growth hormone secretagogue receptor [Source:HGNC Symbol;Acc:4267]
8743	ENSG00000121858	TNFSF10	3	172223298	172241297	-1	protein_coding	tumor necrosis factor (ligand) superfamily, member 10 [Source:HGNC Symbol;Acc:11925]
51193	ENSG00000121864	ZNF639	3	179040779	179053323	1	protein_coding	zinc finger protein 639 [Source:HGNC Symbol;Acc:30950]
22865	ENSG00000121871	SLITRK3	3	164904508	164914897	-1	protein_coding	SLIT and NTRK-like family, member 3 [Source:HGNC Symbol;Acc:23501]
5290	ENSG00000121879	PIK3CA	3	178865902	178957881	1	protein_coding	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]
23244	ENSG00000121892	PDS5A	4	39824483	39979576	-1	protein_coding	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:29088]
80008	ENSG00000121895	TMEM156	4	38968365	39034542	-1	protein_coding	transmembrane protein 156 [Source:HGNC Symbol;Acc:26260]
11019	ENSG00000121897	LIAS	4	39460620	39479273	1	protein_coding	lipoic acid synthetase [Source:HGNC Symbol;Acc:16429]
119587	ENSG00000121898	CPXM2	10	125465723	125699783	-1	protein_coding	carboxypeptidase X (M14 family), member 2 [Source:HGNC Symbol;Acc:26977]
113452	ENSG00000121900	TMEM54	1	33360195	33367039	-1	protein_coding	transmembrane protein 54 [Source:HGNC Symbol;Acc:24143]
7579	ENSG00000121903	ZSCAN20	1	33938246	33962107	1	protein_coding	zinc finger and SCAN domain containing 20 [Source:HGNC Symbol;Acc:13093]
114784	ENSG00000121904	CSMD2	1	33979609	34631443	-1	protein_coding	CUB and Sushi multiple domains 2 [Source:HGNC Symbol;Acc:19290]
3208	ENSG00000121905	HPCA	1	33351595	33364042	1	protein_coding	hippocalcin [Source:HGNC Symbol;Acc:5144]
55791	ENSG00000121931	LRIF1	1	111489807	111506701	-1	protein_coding	ligand dependent nuclear receptor interacting factor 1 [Source:HGNC Symbol;Acc:30299]
140	ENSG00000121933	ADORA3	1	112025970	112106584	-1	protein_coding	adenosine A3 receptor [Source:HGNC Symbol;Acc:268]
23155	ENSG00000121940	CLCC1	1	109472130	109506111	-1	protein_coding	chloride channel CLIC-like 1 [Source:HGNC Symbol;Acc:29675]
29899	ENSG00000121957	GPSM2	1	109417972	109477167	1	protein_coding	G-protein signaling modulator 2 [Source:HGNC Symbol;Acc:29501]
79712	ENSG00000121964	GTDC1	2	144695635	145090135	-1	protein_coding	glycosyltransferase-like domain containing 1 [Source:HGNC Symbol;Acc:20887]
7852	ENSG00000121966	CXCR4	2	136871919	136875735	-1	protein_coding	chemokine (C-X-C motif) receptor 4 [Source:HGNC Symbol;Acc:2561]
84083	ENSG00000121988	ZRANB3	2	135894486	136288806	-1	protein_coding	zinc finger, RAN-binding domain containing 3 [Source:HGNC Symbol;Acc:25249]
92	ENSG00000121989	ACVR2A	2	148602086	148688393	1	protein_coding	activin A receptor, type IIA [Source:HGNC Symbol;Acc:173]
51426	ENSG00000122008	POLK	5	74807581	74896969	1	protein_coding	polymerase (DNA directed) kappa [Source:HGNC Symbol;Acc:9183]
22987	ENSG00000122012	SV2C	5	75378997	75649764	1	protein_coding	synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:30670]
2322	ENSG00000122025	FLT3	13	28577411	28674729	-1	protein_coding	fms-related tyrosine kinase 3 [Source:HGNC Symbol;Acc:3765]
619499	ENSG00000122026	RPL21	13	27825446	27830828	1	protein_coding	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]
26771	ENSG00000122026	RPL21	13	27825446	27830828	1	protein_coding	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]
6144	ENSG00000122026	RPL21	13	27825446	27830828	1	protein_coding	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]
219402	ENSG00000122033	MTIF3	13	28009776	28024739	-1	protein_coding	mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:29788]
2971	ENSG00000122034	GTF3A	13	27998681	28009958	1	protein_coding	general transcription factor IIIA [Source:HGNC Symbol;Acc:4662]
387496	ENSG00000122035	RASL11A	13	27844464	27847827	1	protein_coding	RAS-like, family 11, member A [Source:HGNC Symbol;Acc:23802]
5412	ENSG00000122042	UBL3	13	30338508	30424821	-1	protein_coding	ubiquitin-like 3 [Source:HGNC Symbol;Acc:12504]
440131	ENSG00000122043	LINC00544	13	30510042	30524625	1	lincRNA	long intergenic non-protein coding RNA 544 [Source:HGNC Symbol;Acc:43679]
84248	ENSG00000122068	FYTTD1	3	197464050	197514467	1	protein_coding	forty-two-three domain containing 1 [Source:HGNC Symbol;Acc:25407]
130916	ENSG00000122085	MTERFD2	2	242011584	242041747	-1	protein_coding	MTERF domain containing 2 [Source:HGNC Symbol;Acc:28785]
7512	ENSG00000122121	XPNPEP2	X	128872950	128903514	1	protein_coding	X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound [Source:HGNC Symbol;Acc:12823]
54440	ENSG00000122122	SASH3	X	128913955	128929177	1	protein_coding	SAM and SH3 domain containing 3 [Source:HGNC Symbol;Acc:15975]
4952	ENSG00000122126	OCRL	X	128673826	128726538	1	protein_coding	oculocerebrorenal syndrome of Lowe [Source:HGNC Symbol;Acc:8108]
5047	ENSG00000122133	PAEP	9	138453602	138458801	1	protein_coding	progestagen-associated endometrial protein [Source:HGNC Symbol;Acc:8573]
29991	ENSG00000122136	OBP2A	9	138437985	138441815	1	protein_coding	odorant binding protein 2A [Source:HGNC Symbol;Acc:23380]
51116	ENSG00000122140	MRPS2	9	138391830	138396519	1	protein_coding	mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:14495]
50945	ENSG00000122145	TBX22	X	79270255	79287268	1	protein_coding	T-box 22 [Source:HGNC Symbol;Acc:11600]
2331	ENSG00000122176	FMOD	1	203309756	203320617	-1	protein_coding	fibromodulin [Source:HGNC Symbol;Acc:3774]
4656	ENSG00000122180	MYOG	1	203052260	203055164	-1	protein_coding	myogenin (myogenic factor 4) [Source:HGNC Symbol;Acc:7612]
54900	ENSG00000122188	LAX1	1	203734304	203745361	1	protein_coding	lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:26005]
5340	ENSG00000122194	PLG	6	161123270	161174347	1	protein_coding	plasminogen [Source:HGNC Symbol;Acc:9071]
57179	ENSG00000122203	KIAA1191	5	175773064	175788971	-1	protein_coding	KIAA1191 [Source:HGNC Symbol;Acc:29209]
1314	ENSG00000122218	COPA	1	160259063	160313190	-1	protein_coding	coatomer protein complex, subunit alpha [Source:HGNC Symbol;Acc:2230]
51744	ENSG00000122223	CD244	1	160799950	160832692	-1	protein_coding	CD244 molecule, natural killer cell receptor 2B4 [Source:HGNC Symbol;Acc:18171]
4063	ENSG00000122224	LY9	1	160765864	160798051	1	protein_coding	lymphocyte antigen 9 [Source:HGNC Symbol;Acc:6730]
9956	ENSG00000122254	HS3ST2	16	22825498	22927659	1	protein_coding	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:5195]
5930	ENSG00000122257	RBBP6	16	24549014	24584184	1	protein_coding	retinoblastoma binding protein 6 [Source:HGNC Symbol;Acc:9889]
29066	ENSG00000122299	ZC3H7A	16	11844442	11891123	-1	protein_coding	zinc finger CCCH-type containing 7A [Source:HGNC Symbol;Acc:30959]
5620	ENSG00000122304	PRM2	16	11369496	11370337	-1	protein_coding	protamine 2 [Source:HGNC Symbol;Acc:9448]
84947	ENSG00000122335	SERAC1	6	158530536	158589312	-1	protein_coding	serine active site containing 1 [Source:HGNC Symbol;Acc:21061]
311	ENSG00000122359	ANXA11	10	81910645	81965328	-1	protein_coding	annexin A11 [Source:HGNC Symbol;Acc:535]
11155	ENSG00000122367	LDB3	10	88428206	88495825	1	protein_coding	LIM domain binding 3 [Source:HGNC Symbol;Acc:15710]
94233	ENSG00000122375	OPN4	10	88414314	88426605	1	protein_coding	opsin 4 [Source:HGNC Symbol;Acc:14449]
54537	ENSG00000122376	FAM35A	10	88853918	88951225	1	protein_coding	family with sequence similarity 35, member A [Source:HGNC Symbol;Acc:28773]
84293	ENSG00000122378	FAM213A	10	82167585	82192753	1	protein_coding	family with sequence similarity 213, member A [Source:HGNC Symbol;Acc:28651]
7755	ENSG00000122386	ZNF205	16	3162561	3170518	1	protein_coding	zinc finger protein 205 [Source:HGNC Symbol;Acc:12996]
79903	ENSG00000122390	NAA60	16	3493611	3536963	1	protein_coding	N(alpha)-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:25875]
6125	ENSG00000122406	RPL5	1	93297582	93307481	1	protein_coding	ribosomal protein L5 [Source:HGNC Symbol;Acc:10360]
6083	ENSG00000122406	RPL5	1	93297582	93307481	1	protein_coding	ribosomal protein L5 [Source:HGNC Symbol;Acc:10360]
57489	ENSG00000122417	ODF2L	1	86814344	86862023	-1	protein_coding	outer dense fiber of sperm tails 2-like [Source:HGNC Symbol;Acc:29225]
5737	ENSG00000122420	PTGFR	1	78769568	79005434	1	protein_coding	prostaglandin F receptor (FP) [Source:HGNC Symbol;Acc:9600]
54482	ENSG00000122435	TRMT13	1	100598706	100616053	1	protein_coding	tRNA methyltransferase 13 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25502]
127495	ENSG00000122477	LRRC39	1	100614409	100643771	-1	protein_coding	leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:28228]
25950	ENSG00000122481	RWDD3	1	95699711	95712781	1	protein_coding	RWD domain containing 3 [Source:HGNC Symbol;Acc:21393]
84146	ENSG00000122482	ZNF644	1	91380859	91487829	-1	protein_coding	zinc finger protein 644 [Source:HGNC Symbol;Acc:29222]
343099	ENSG00000122483	CCDC18	1	93645476	93744287	1	protein_coding	coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:30370]
79871	ENSG00000122484	RPAP2	1	92764522	92867613	1	protein_coding	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:25791]
80148	ENSG00000122490	PQLC1	18	77662420	77711664	-1	protein_coding	PQ loop repeat containing 1 [Source:HGNC Symbol;Acc:26188]
25832	ENSG00000122497	NBPF14	1	148003642	148025863	-1	protein_coding	neuroblastoma breakpoint family, member 14 [Source:HGNC Symbol;Acc:25232]
27241	ENSG00000122507	BBS9	7	33168856	33645680	1	protein_coding	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:30000]
5395	ENSG00000122512	PMS2	7	6012870	6048756	-1	protein_coding	PMS2 postmeiotic segregation increased 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:9122]
83637	ENSG00000122515	ZMIZ2	7	44788180	44809477	1	protein_coding	zinc finger, MIZ-type containing 2 [Source:HGNC Symbol;Acc:22229]
654231	ENSG00000122543	OCM	7	5919458	5925993	1	protein_coding	oncomodulin [Source:HGNC Symbol;Acc:8105]
989	ENSG00000122545	SEPT7	7	35840542	35944917	1	protein_coding	septin 7 [Source:HGNC Symbol;Acc:1717]
80820	ENSG00000122547	EEPD1	7	36192758	36341152	1	protein_coding	endonuclease/exonuclease/phosphatase family domain containing 1 [Source:HGNC Symbol;Acc:22223]
55975	ENSG00000122550	KLHL7	7	23145353	23217533	1	protein_coding	kelch-like family member 7 [Source:HGNC Symbol;Acc:15646]
64224	ENSG00000122557	HERPUD2	7	35672269	35735181	-1	protein_coding	HERPUD family member 2 [Source:HGNC Symbol;Acc:21915]
11335	ENSG00000122565	CBX3	7	26240782	26252976	1	protein_coding	chromobox homolog 3 [Source:HGNC Symbol;Acc:1553]
3181	ENSG00000122566	HNRNPA2B1	7	26229547	26241149	-1	protein_coding	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:5033]
644150	ENSG00000122574	WIPF3	7	29846102	29956682	1	protein_coding	WAS/WASL interacting protein family, member 3 [Source:HGNC Symbol;Acc:22004]
30010	ENSG00000122584	NXPH1	7	8473585	8792593	1	protein_coding	neurexophilin 1 [Source:HGNC Symbol;Acc:20693]
4852	ENSG00000122585	NPY	7	24323782	24331484	1	protein_coding	neuropeptide Y [Source:HGNC Symbol;Acc:7955]
84668	ENSG00000122591	FAM126A	7	22980878	23053749	-1	protein_coding	family with sequence similarity 126, member A [Source:HGNC Symbol;Acc:24587]
3204	ENSG00000122592	HOXA7	7	27193335	27197555	-1	protein_coding	homeobox A7 [Source:HGNC Symbol;Acc:5108]
3624	ENSG00000122641	INHBA	7	41724712	41742706	-1	protein_coding	inhibin, beta A [Source:HGNC Symbol;Acc:6066]
11328	ENSG00000122642	FKBP9	7	32997017	33046543	1	protein_coding	FK506 binding protein 9, 63 kDa [Source:HGNC Symbol;Acc:3725]
51251	ENSG00000122643	NT5C3A	7	33053742	33102409	-1	protein_coding	5'-nucleotidase, cytosolic IIIA [Source:HGNC Symbol;Acc:17820]
10124	ENSG00000122644	ARL4A	7	12726481	12730559	1	protein_coding	ADP-ribosylation factor-like 4A [Source:HGNC Symbol;Acc:695]
221960	ENSG00000122674	CCZ1	7	5938356	5965605	1	protein_coding	CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21691]
51622	ENSG00000122674	CCZ1	7	5938356	5965605	1	protein_coding	CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21691]
27434	ENSG00000122678	POLM	7	44111846	44122139	-1	protein_coding	polymerase (DNA directed), mu [Source:HGNC Symbol;Acc:9185]
10268	ENSG00000122679	RAMP3	7	45197390	45225901	1	protein_coding	receptor (G protein-coupled) activity modifying protein 3 [Source:HGNC Symbol;Acc:9845]
29960	ENSG00000122687	FTSJ2	7	2273866	2281840	-1	protein_coding	FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:HGNC Symbol;Acc:16352]
7291	ENSG00000122691	TWIST1	7	19060614	19157295	-1	protein_coding	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:12428]
55234	ENSG00000122692	SMU1	9	33041762	33076665	-1	protein_coding	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans) [Source:HGNC Symbol;Acc:18247]
152007	ENSG00000122694	GLIPR2	9	36136732	36163910	1	protein_coding	GLI pathogenesis-related 2 [Source:HGNC Symbol;Acc:18007]
92014	ENSG00000122696	SLC25A51	9	37879400	37904350	-1	protein_coding	solute carrier family 25, member 51 [Source:HGNC Symbol;Acc:23323]
1211	ENSG00000122705	CLTA	9	36190853	36304778	1	protein_coding	clathrin, light chain A [Source:HGNC Symbol;Acc:2090]
8434	ENSG00000122707	RECK	9	36036430	36124448	1	protein_coding	reversion-inducing-cysteine-rich protein with kazal motifs [Source:HGNC Symbol;Acc:11345]
27290	ENSG00000122711	SPINK4	9	33218363	33248565	1	protein_coding	serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:16646]
56656	ENSG00000122718	OR2S2	9	35957105	35958151	-1	protein_coding	olfactory receptor, family 2, subfamily S, member 2 [Source:HGNC Symbol;Acc:8276]
138474	ENSG00000122728	TAF1L	9	32629452	32635667	-1	protein_coding	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like [Source:HGNC Symbol;Acc:18056]
48	ENSG00000122729	ACO1	9	32384618	32454767	1	protein_coding	aconitase 1, soluble [Source:HGNC Symbol;Acc:117]
23349	ENSG00000122733	KIAA1045	9	34957484	34982541	1	protein_coding	KIAA1045 [Source:HGNC Symbol;Acc:29180]
27019	ENSG00000122735	DNAI1	9	34457412	34520982	1	protein_coding	dynein, axonemal, intermediate chain 1 [Source:HGNC Symbol;Acc:2954]
79269	ENSG00000122741	DCAF10	9	37800499	37867663	1	protein_coding	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:23686]
1271	ENSG00000122756	CNTFR	9	34551430	34590121	-1	protein_coding	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:2170]
57670	ENSG00000122778	KIAA1549	7	138516126	138666064	-1	protein_coding	KIAA1549 [Source:HGNC Symbol;Acc:22219]
8805	ENSG00000122779	TRIM24	7	138145079	138274738	1	protein_coding	tripartite motif containing 24 [Source:HGNC Symbol;Acc:11812]
78996	ENSG00000122783	C7orf49	7	134777115	134855547	-1	protein_coding	chromosome 7 open reading frame 49 [Source:HGNC Symbol;Acc:22432]
800	ENSG00000122786	CALD1	7	134429003	134655479	1	protein_coding	caldesmon 1 [Source:HGNC Symbol;Acc:1441]
6718	ENSG00000122787	AKR1D1	7	137687070	137802732	1	protein_coding	aldo-keto reductase family 1, member D1 [Source:HGNC Symbol;Acc:388]
170685	ENSG00000122824	NUDT10	X	51075083	51080377	1	protein_coding	nudix (nucleoside diphosphate linked moiety X)-type motif 10 [Source:HGNC Symbol;Acc:17621]
729238	ENSG00000122852	SFTPA1	10	81370695	81375196	1	protein_coding	surfactant protein A1 [Source:HGNC Symbol;Acc:10798]
653509	ENSG00000122852	SFTPA1	10	81370695	81375196	1	protein_coding	surfactant protein A1 [Source:HGNC Symbol;Acc:10798]
50674	ENSG00000122859	NEUROG3	10	71331454	71332994	-1	protein_coding	neurogenin 3 [Source:HGNC Symbol;Acc:13806]
5328	ENSG00000122861	PLAU	10	75668935	75677255	1	protein_coding	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:9052]
5552	ENSG00000122862	SRGN	10	70847862	70864567	1	protein_coding	serglycin [Source:HGNC Symbol;Acc:9361]
9469	ENSG00000122863	CHST3	10	73724123	73773322	1	protein_coding	carbohydrate (chondroitin 6) sulfotransferase 3 [Source:HGNC Symbol;Acc:1971]
80114	ENSG00000122870	BICC1	10	60272900	60591195	1	protein_coding	bicaudal C homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19351]
55847	ENSG00000122873	CISD1	10	60028818	60049346	1	protein_coding	CDGSH iron sulfur domain 1 [Source:HGNC Symbol;Acc:30880]
1959	ENSG00000122877	EGR2	10	64571756	64679660	-1	protein_coding	early growth response 2 [Source:HGNC Symbol;Acc:3239]
11319	ENSG00000122882	ECD	10	74889913	74928813	-1	protein_coding	ecdysoneless homolog (Drosophila) [Source:HGNC Symbol;Acc:17029]
5033	ENSG00000122884	P4HA1	10	74766975	74856732	-1	protein_coding	prolyl 4-hydroxylase, alpha polypeptide I [Source:HGNC Symbol;Acc:8546]
8034	ENSG00000122912	SLC25A16	10	70237756	70287231	-1	protein_coding	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16 [Source:HGNC Symbol;Acc:10986]
11130	ENSG00000122952	ZWINT	10	58116989	58121036	-1	protein_coding	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:13195]
9559	ENSG00000122958	VPS26A	10	70883268	70932617	1	protein_coding	vacuolar protein sorting 26 homolog A (S. pombe) [Source:HGNC Symbol;Acc:12711]
9904	ENSG00000122965	RBM19	12	114254543	114404176	-1	protein_coding	RNA binding motif protein 19 [Source:HGNC Symbol;Acc:29098]
100302274	ENSG00000122966	CIT	12	120123595	120315095	-1	protein_coding	citron (rho-interacting, serine/threonine kinase 21) [Source:HGNC Symbol;Acc:1985]
11113	ENSG00000122966	CIT	12	120123595	120315095	-1	protein_coding	citron (rho-interacting, serine/threonine kinase 21) [Source:HGNC Symbol;Acc:1985]
28981	ENSG00000122970	IFT81	12	110562140	110656602	1	protein_coding	intraflagellar transport 81 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:14313]
35	ENSG00000122971	ACADS	12	121163538	121177811	1	protein_coding	acyl-CoA dehydrogenase, C-2 to C-3 short chain [Source:HGNC Symbol;Acc:90]
84329	ENSG00000122986	HVCN1	12	111065646	111142755	-1	protein_coding	hydrogen voltage-gated channel 1 [Source:HGNC Symbol;Acc:28240]
79039	ENSG00000123064	DDX54	12	113594979	113623284	-1	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 [Source:HGNC Symbol;Acc:20084]
23389	ENSG00000123066	MED13L	12	116395711	116715143	-1	protein_coding	mediator complex subunit 13-like [Source:HGNC Symbol;Acc:22962]
1031	ENSG00000123080	CDKN2C	1	51426417	51440305	1	protein_coding	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) [Source:HGNC Symbol;Acc:1789]
26994	ENSG00000123091	RNF11	1	51701943	51739127	1	protein_coding	ring finger protein 11 [Source:HGNC Symbol;Acc:10056]
11228	ENSG00000123094	RASSF8	12	26111962	26232825	1	protein_coding	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8 [Source:HGNC Symbol;Acc:13232]
79365	ENSG00000123095	BHLHE41	12	26272959	26278060	-1	protein_coding	basic helix-loop-helix family, member e41 [Source:HGNC Symbol;Acc:16617]
8082	ENSG00000123096	SSPN	12	26274924	26452223	1	protein_coding	sarcospan [Source:HGNC Symbol;Acc:11322]
3709	ENSG00000123104	ITPR2	12	26490342	26986131	-1	protein_coding	inositol 1,4,5-trisphosphate receptor, type 2 [Source:HGNC Symbol;Acc:6181]
55297	ENSG00000123106	CCDC91	12	28286182	28732883	1	protein_coding	coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:24855]
